"","regulator","regulatees","mean_edge_weight"
"41","AC023509.3","IL17REL",0.217605025058334
"42","AC023509.3","IL18RAP",0.192135374622942
"43","AC023509.3","IL19",0.20300142969897
"44","AC023509.3","IL1B",0.17772712527678
"45","AC023509.3","IL1R1",0.206639783197718
"46","AC023509.3","IL1R2",0.433070003957398
"47","AC023509.3","IL1RAP",0.167349653372509
"48","AC023509.3","IL1RN",0.220912793943288
"49","AC023509.3","IL2",0.224437718406163
"50","AC023509.3","IL20",0.203513010443667
"51","AC023509.3","IL21R",0.228969223705007
"52","AC023509.3","IL27RA",0.23572472054673
"53","AC023509.3","IL2RA",0.188651218848687
"54","AC023509.3","IL2RB",0.179443155704587
"55","AC023509.3","IL32",0.248430462581105
"56","AC023509.3","IL33",0.193907194296653
"57","AC023509.3","IL34",0.168748450666406
"58","AC023509.3","IL3RA",0.193127258815881
"59","AC023509.3","IL4I1",0.214280800824003
"60","AC023509.3","IL4R",0.224868229207047
"61","AC023509.3","IL5",0.217347240289658
"62","AC023509.3","IL5RA",0.284807504346415
"63","AC023509.3","IL6",0.307723686399699
"64","AC023509.3","IL6R",0.0850820890283415
"65","AC023509.3","IL6ST",0.27787491939093
"66","AC023509.3","IL7",0.138731755220182
"67","AC023509.3","IL7R",0.209084741880069
"68","AC023509.3","IMMP2L",0.191048759938966
"69","AC023509.3","MMP14",0.222801444316149
"70","AC023509.3","MMP2-AS1",0.185214508270298
"71","AC023509.3","MMP25-AS1",0.283957418176448
"72","AC023509.3","MMP7",0.167319106652579
"73","AC023509.3","NOTCH3",0.332562332088506
"74","AC023509.3","PDGFB",0.250241282853481
"75","AC023509.3","PDGFC",0.157727529015359
"76","AC023509.3","PDGFD",0.183369007108628
"77","AC023509.3","PDGFRB",0.161482639959154
"78","AC023509.3","TGFA",0.16318847183327
"79","AC023509.3","TGFB3",0.220789382148988
"80","AC023509.3","TGFBI",0.195673540038405
"81","AC023509.3","TGFBR2",0.26278634014549
"82","AC023509.3","TGFBR3",0.172382401913476
"83","AC023509.3","TGFBR3L",0.217522817895885
"84","AC023509.3","TGFBRAP1",0.189549316273206
"85","AC023509.3","TNFAIP1",0.182629095486854
"86","AC023509.3","TNFAIP6",0.565994993958138
"87","AC023509.3","TNFAIP8",0.190891803475156
"88","AC023509.3","TNFRSF11A",0.209827220333375
"89","AC023509.3","TNFRSF14",0.190723412702616
