ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,group
R-HSA-8866907,Activation of the TFAP2 (AP-2) family of transcription factors,0.021978021978022,12/11009,3.22516135634633e-05,0.000231648484805256,0.000159627550571175,TFAP2C/TFAP2B/TFAP2A/TFAP2E,4,G2
R-HSA-9832991,Formation of the posterior neural plate,0.0274725274725275,10/11009,2.75464662235758e-07,3.56267629824914e-06,2.45501839325904e-06,SOX2/SOX1/ZNF521/POU3F1/TBX6,5,G2
R-HSA-9690406,Transcriptional regulation of testis differentiation,0.0274725274725275,11/11009,4.98259759929801e-07,5.68602314272832e-06,3.91820368489689e-06,WT1/SOX9/GATA4/DMRT1/NR5A1,5,G2
R-HSA-9823730,Formation of definitive endoderm,0.0274725274725275,15/11009,3.06889381753032e-06,3.1335021084257e-05,2.1592770904507e-05,GATA4/FOXA2/MIXL1/GATA6/GSC,5,G2
R-HSA-210744,Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells,0.0274725274725275,16/11009,4.40420023032693e-06,4.27207422341712e-05,2.94386015395537e-05,ONECUT1/HNF1B/ONECUT3/NEUROG3/HES1,5,G2
R-HSA-3232118,SUMOylation of transcription factors,0.0274725274725275,20/11009,1.48142229095841e-05,0.000119748301852472,8.25178205928589e-05,TFAP2C/TFAP2B/FOXL2/TFAP2A/MITF,5,G2
R-HSA-2892247,POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation,0.032967032967033,13/11009,2.93054380322708e-08,4.73771248188377e-07,3.26472862289332e-07,SALL4/SOX2/FOXD3/NANOG/NR6A1/POU5F1,6,G2
R-HSA-9796292,Formation of axial mesoderm,0.032967032967033,14/11009,5.05824253790913e-08,7.54845424887978e-07,5.20159354100777e-07,NOTO/TEAD4/FOXA2/FOXA1/FOXH1/TEAD2,6,G2
R-HSA-2032785,YAP1- and WWTR1 (TAZ)-stimulated gene expression,0.032967032967033,15/11009,8.31501598591427e-08,1.15222364376241e-06,7.93990248279032e-07,NKX2-5/GATA4/TEAD4/TEAD1/TEAD2/TEAD3,6,G2
R-HSA-9013508,NOTCH3 Intracellular Domain Regulates Transcription,0.032967032967033,25/11009,2.56387851536516e-06,2.76329128878245e-05,1.90416708451097e-05,HES5/HEYL/HEY1/HES1/HEY2/PBX1,6,G2
R-HSA-8864260,Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors,0.032967032967033,38/11009,3.34338019306555e-05,0.000231648484805256,0.000159627550571175,TFAP2C/TFAP2B/PITX2/TFAP2A/MYBL2/TFAP2E,6,G2
R-HSA-3769402,Deactivation of the beta-catenin transactivating complex,0.032967032967033,42/11009,6.01422043523938e-05,0.000402330608426359,0.000277243555453866,SOX9/SOX2/SOX6/SOX7/TCF7L1/SOX13,6,G2
R-HSA-9012852,Signaling by NOTCH3,0.032967032967033,49/11009,0.000145679859074341,0.000942063088680737,0.000649169898331273,HES5/HEYL/HEY1/HES1/HEY2/PBX1,6,G2
R-HSA-9754189,Germ layer formation at gastrulation,0.0384615384615385,17/11009,5.0865174330788e-09,8.97076710924807e-08,6.18170061244984e-08,SOX2/TBPL2/MIXL1/FOXH1/NANOG/GSC/POU5F1,7,G2
R-HSA-4090294,SUMOylation of intracellular receptors,0.0384615384615385,30/11009,4.43955876221687e-07,5.38296499918796e-06,3.70936817632594e-06,PGR/NR5A1/NR5A2/NR1I2/THRB/AR/PPARG,7,G2
R-HSA-9823739,Formation of the anterior neural plate,0.043956043956044,11/11009,7.56797037415829e-13,2.44697708764452e-11,1.6861969079265e-11,ZIC2/SOX2/SOX1/ZNF521/NANOG/POU5F1/POU3F1/PAX6,8,G2
R-HSA-8940973,RUNX2 regulates osteoblast differentiation,0.043956043956044,24/11009,2.80667950934268e-09,5.44495824812479e-08,3.75208734406863e-08,SP7/HEY1/ZNF521/SATB2/GLI3/AR/HES1/HEY2,8,G2
R-HSA-8941326,RUNX2 regulates bone development,0.0494505494505494,32/11009,1.52995493242418e-09,3.29790285433657e-08,2.27256463646633e-08,SP7/HEY1/ZNF521/SATB2/GLI3/AR/HES1/HEY2/SMAD1,9,G2
R-HSA-9733709,Cardiogenesis,0.0549450549450549,27/11009,7.87380227230525e-12,2.1821680583246e-10,1.50371862944777e-10,NKX2-5/TBX20/HAND1/GATA4/HAND2/HEY1/TBX1/GATA6/HEY2/SMAD1,10,G2
R-HSA-5617472,Activation of anterior HOX genes in hindbrain development during early embryogenesis,0.0549450549450549,121/11009,3.08667490830345e-05,0.000230313435465719,0.000158707576256898,HOXD1/HOXA2/HOXA3/HOXA4/MEIS1/HOXA1/EGR2/HOXB3/PAX6/PBX1,10,G2
R-HSA-5619507,Activation of HOX genes during differentiation,0.0549450549450549,121/11009,3.08667490830345e-05,0.000230313435465719,0.000158707576256898,HOXD1/HOXA2/HOXA3/HOXA4/MEIS1/HOXA1/EGR2/HOXB3/PAX6/PBX1,10,G2
R-HSA-210745,Regulation of gene expression in beta cells,0.0604395604395604,21/11009,5.68818527888595e-15,2.20701588820775e-13,1.52084111667056e-13,RFX6/NEUROD1/HNF4A/NKX2-2/HNF4G/FOXA2/NKX6-1/FOXA3/MAFA/HNF1A/PAX6,11,G2
R-HSA-452723,Transcriptional regulation of pluripotent stem cells,0.0714285714285714,24/11009,9.53544861701201e-18,4.62469257925082e-16,3.18684730094875e-16,ZSCAN10/SALL4/SOX2/PRDM14/FOXD3/LIN28A/NR5A1/HIF3A/NANOG/EPAS1/NR6A1/POU5F1/PBX1,13,G2
R-HSA-3108232,SUMO E3 ligases SUMOylate target proteins,0.0714285714285714,183/11009,1.04105899965579e-05,9.61740218729633e-05,6.62729288001429e-05,TFAP2C/TFAP2B/FOXL2/PGR/TFAP2A/NR5A1/NR5A2/SATB2/NR1I2/THRB/AR/PPARG/MITF,13,G2
R-HSA-2990846,SUMOylation,0.0714285714285714,189/11009,1.47346169141657e-05,0.000119748301852472,8.25178205928589e-05,TFAP2C/TFAP2B/FOXL2/PGR/TFAP2A/NR5A1/NR5A2/SATB2/NR1I2/THRB/AR/PPARG/MITF,13,G2
R-HSA-8878166,Transcriptional regulation by RUNX2,0.0934065934065934,121/11009,1.20270607724569e-11,2.91656223732081e-10,2.00978515539741e-10,SP7/SOX9/NKX3-2/DLX6/DLX5/HAND2/HEY1/MSX2/ZNF521/TWIST1/TWIST2/SATB2/GLI3/AR/HES1/HEY2/SMAD1,17,G2
R-HSA-383280,Nuclear Receptor transcription pathway,0.0989010989010989,52/11009,9.51110731783917e-20,6.150516065536e-18,4.23828291005465e-18,PGR/NR0B1/HNF4A/NR2E1/ESRRB/HNF4G/NR5A1/ESRRG/NR5A2/NR1I2/THRB/NR1I3/AR/PPARG/NR2E3/NR6A1/NR4A3/RORC,18,G2
R-HSA-186712,Regulation of beta-cell development,0.104395604395604,41/11009,9.66476267941829e-24,9.37481979903574e-22,6.46013084361117e-22,RFX6/INSM1/PTF1A/NEUROD1/ONECUT1/HNF4A/NKX2-2/HNF4G/FOXA2/HNF1B/ONECUT3/NEUROG3/NKX6-1/NR5A2/FOXA3/MAFA/HNF1A/HES1/PAX6,19,G2
R-HSA-9758941,Gastrulation,0.159340659340659,114/11009,6.77009702282326e-27,1.31339882242771e-24,9.05055075682689e-25,ZIC2/SOX2/GATA4/NOTO/TEAD4/FOXC2/PAX2/FOXA2/FOXA1/MESP2/FOXF1/LHX1/TBPL2/SOX1/HES7/MIXL1/ZNF521/FOXH1/NANOG/FOXC1/TEAD2/SNAI1/GATA6/GSC/POU5F1/POU3F1/TBX6/PAX6/PAX8,29,G2
R-HSA-9827857,Specification of primordial germ cells,0.0487804878048781,12/11009,0.000872310932291002,0.0211603291900029,0.0175244212332067,EOMES/PRDM1,2,G3
R-HSA-9754189,Germ layer formation at gastrulation,0.0487804878048781,17/11009,0.00177641753924747,0.0345132550482366,0.0285829589021773,EOMES/GSC,2,G3
R-HSA-9823730,Formation of definitive endoderm,0.0731707317073171,15/11009,2.11489764238409e-05,0.00143813039682118,0.00119102130386893,EOMES/GSC/GATA6,3,G3
R-HSA-383280,Nuclear Receptor transcription pathway,0.0731707317073171,52/11009,0.000933543934853069,0.0211603291900029,0.0175244212332067,RORA/ESR2/NR4A2,3,G3
R-HSA-9733709,Cardiogenesis,0.0975609756097561,27/11009,2.7310057571775e-06,0.000371416782976139,0.000307597490545255,EOMES/GATA6/TBX1/HEY2,4,G3
R-HSA-400253,Circadian Clock,0.0975609756097561,70/11009,0.000127102711199668,0.00576198957438495,0.00477192635030332,BHLHE40/CREM/RORA/NFIL3,4,G3
R-HSA-9758941,Gastrulation,0.0975609756097561,114/11009,0.000821991187739938,0.0211603291900029,0.0175244212332067,EOMES/ZEB2/GSC/GATA6,4,G3
R-HSA-4641265,Repression of WNT target genes,0.0689655172413793,12/11009,0.000435050955298334,0.01827214012253,0.0141963995939456,LEF1/TCF7,2,G4
R-HSA-9796292,Formation of axial mesoderm,0.0689655172413793,14/11009,0.000597885536673897,0.0188333944052277,0.014632461818598,LEF1/TCF7,2,G4
R-HSA-9754189,Germ layer formation at gastrulation,0.0689655172413793,17/11009,0.000889174494329762,0.02240719725711,0.0174091006258248,LEF1/TCF7,2,G4
R-HSA-201722,Formation of the beta-catenin:TCF transactivating complex,0.103448275862069,90/11009,0.00165536501968624,0.034762665413411,0.0270085871633018,LEF1/TCF7/MYC,3,G4
R-HSA-8878159,Transcriptional regulation by RUNX3,0.103448275862069,96/11009,0.00199205239787395,0.0358569431617311,0.0278587778950793,LEF1/TCF7/MYC,3,G4
R-HSA-9616222,Transcriptional regulation of granulopoiesis,0.137931034482759,89/11009,8.12218653686554e-05,0.0102339550364506,0.00795119313608942,LEF1/MYC/KLF5/MYB,4,G4
R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,0.137931034482759,108/11009,0.000172218171876187,0.0108497448281998,0.00842962630762392,MYC/FOXO1/GATA3/ZEB1,4,G4
R-HSA-9832991,Formation of the posterior neural plate,0.0289855072463768,10/11009,0.00168658581719844,0.0481003008192651,0.0397822036851065,ZEB2/POU3F1,2,G5
R-HSA-9823739,Formation of the anterior neural plate,0.0434782608695652,11/11009,3.75096292241847e-05,0.00264939843213598,0.00219123178597712,POU5F1/ZEB2/POU3F1,3,G5
R-HSA-9031628,NGF-stimulated transcription,0.0434782608695652,39/11009,0.00183239241216248,0.0481003008192651,0.0397822036851065,LYL1/TCF12/EGR3,3,G5
R-HSA-909733,Interferon alpha/beta signaling,0.0579710144927536,77/11009,0.00135564755890291,0.0481003008192651,0.0397822036851065,IRF8/IRF4/IRF5/IRF7,4,G5
R-HSA-525793,Myogenesis,0.072463768115942,30/11009,1.05358037858247e-06,0.000221251879502318,0.000182990276280113,TCF4/TCF3/MEF2C/MEF2A/TCF12,5,G5
R-HSA-198725,Nuclear Events (kinase and transcription factor activation),0.072463768115942,61/11009,3.78485490305139e-05,0.00264939843213598,0.00219123178597712,MEF2C/LYL1/MEF2A/TCF12/EGR3,5,G5
R-HSA-187037,Signaling by NTRK1 (TRKA),0.072463768115942,115/11009,0.000752222604280155,0.0394916867247082,0.032662297291112,MEF2C/LYL1/MEF2A/TCF12/EGR3,5,G5
R-HSA-166520,Signaling by NTRKs,0.072463768115942,134/11009,0.00149322618753757,0.0481003008192651,0.0397822036851065,MEF2C/LYL1/MEF2A/TCF12/EGR3,5,G5
