kmeans,At-Risk,CON,ratio,adjusted.ratio
G1,50,70,0.714285714285714,1.03607996099464
G2,166,139,1.19424460431655,1.73226606428168
G3,96,155,0.619354838709677,0.898381591985027
G4,220,425,0.517647058823529,0.750853242320819
G5,54,61,0.885245901639344,1.28405975493762
All,586,850,0.689411764705882,1
