TF,P.value,log2.fold.change,group
SPI1,2.02445736768477e-73,4.11046214915077,G1
KLF4,3.17876670491087e-73,2.85389037471431,G1
CEBPA,3.4411509159421e-73,4.36238118997613,G1
JDP2,3.64820306630484e-73,3.38707824046684,G1
MAFB,1.56676055511684e-72,3.80531135294797,G1
ETS2,1.60630605180588e-72,1.90089059118106,G1
BACH1,2.19320678017444e-72,1.97488517393602,G1
RXRA,2.4028621707187e-72,2.63006049689945,G1
CEBPD,5.90501805667801e-72,3.74030417705391,G1
NFE2,4.13870331056561e-71,3.59309859327756,G1
ZNF467,2.24306158386965e-70,1.91001856811812,G1
CEBPG,3.38984101486052e-70,1.78345303133833,G1
CREB5,3.72379754004246e-70,3.08570015002124,G1
CEBPB,4.5301118290477e-70,3.10230538673196,G1
IRF5,1.88452522489359e-69,2.18284103745743,G1
RARA,3.75744320154858e-69,1.4158197705008,G1
MITF,1.93283769122589e-68,2.5512488567547,G1
VDR,2.3455736789784e-68,2.40333599685723,G1
BCL6,3.48092718278838e-68,2.06800685579017,G1
ETV6,7.74744547663679e-68,1.05058264792966,G1
BATF3,1.73457866481517e-67,2.59816144106892,G1
SOX4,2.16179098188402e-67,2.36994513194744,G1
KLF10,8.10602887963795e-67,1.46428483863002,G1
TFEC,2.04811631988157e-66,2.83315040452645,G1
SMAD1,1.55437155977626e-65,2.32523177192657,G1
ATF3,3.38099786577098e-63,2.08472716601928,G1
CUX1,6.78253591007174e-63,1.25052892102771,G1
MAFG,1.17324106270235e-62,1.33123538996542,G1
ESRRA,1.42807744347936e-62,1.09639067835999,G1
ATF5,1.98104190149351e-62,1.60903697926673,G1
NFIL3,5.19595464868678e-62,1.88149928883307,G1
VENTX,1.66951771031499e-61,2.09279001807253,G1
FOSL2,1.32772694664736e-60,2.1342928903257,G1
FOS,2.72554264832913e-60,1.81022362558577,G1
NR6A1,4.62458520274521e-60,2.07450199914021,G1
TFE3,1.79926323613635e-59,1.19434695712105,G1
KLF11,6.2853859847086e-59,1.19201916910357,G1
ZFHX3,9.69179043747772e-59,1.75845213520611,G1
RBPJ,1.28663900872839e-58,0.793503834923932,G1
STAT6,2.82096127756985e-58,0.824586179030794,G1
NFE2L2,6.52296784428064e-58,0.922598142636618,G1
CENPBD1,9.58471522206964e-58,1.37761214239225,G1
HHEX,2.33307650373526e-57,2.64599932726497,G1
STAT2,8.92348350833279e-57,0.867841881073334,G1
ARID3A,1.26841516838515e-56,1.37320593558545,G1
LYL1,1.52308184889378e-56,1.65230288929303,G1
NFE2L1,2.24384655202599e-56,1.02468292582508,G1
HMBOX1,5.2860078868293e-56,1.13295941201012,G1
SOX15,5.66448056956326e-56,1.85272301236064,G1
JUNB,7.97295621780079e-56,0.985889989515704,G1
ELF4,3.01513878746385e-55,0.914021058627181,G1
ZHX1,8.7383180147417e-55,0.965241642232165,G1
YBX3,4.71602085820159e-54,1.5439869042158,G1
ZNF217,6.78891167152642e-54,1.21227646677742,G1
HDX,3.72951222602447e-53,1.66350361783701,G1
POU2F2,4.58873883999712e-52,1.27389997624177,G1
TFEB,6.84141163074519e-52,1.22428731131666,G1
PLAGL1,6.58340600577748e-51,1.14763296035177,G1
MEF2C,6.62920247644439e-51,2.87394358851964,G1
DNTTIP1,3.51442096794964e-50,0.839734778735842,G1
