"","new_id","net"
"341","p41","SELPLG"
"342","p41","ADGRE"
"343","p41","CD48"
"344","p41","PECAM1"
"345","p41","PARs"
"346","p41","CD160"
"347","p41","COLLAGEN"
"348","p41","IGFBP"
"349","p42","MHC-I"
"350","p42","CLEC"
"351","p42","CD99"
"352","p42","MIF"
"353","p42","CypA"
"354","p42","SELPLG"
"355","p42","MHC-II"
"356","p42","IL16"
"357","p42","ICAM"
"358","p42","CD48"
"359","p42","GALECTIN"
"360","p42","SIRP"
"361","p42","ADGRE"
"362","p42","CD40"
"363","p42","TGFb"
"364","p42","CD160"
"365","p42","BAG"
"366","p42","PECAM2"
"367","p42","PECAM1"
"368","p48","MHC-I"
"369","p48","MHC-II"
"370","p48","CD99"
"371","p48","CLEC"
"372","p48","CypA"
"373","p48","MIF"
"374","p48","GALECTIN"
"375","p48","LCK"
"376","p48","SELPLG"
"377","p48","ICAM"
"378","p48","PARs"
"379","p48","IL16"
"380","p48","TGFb"
"381","p48","SIRP"
"382","p48","CD40"
"383","p48","BAG"
"384","p48","PECAM2"
"385","p48","IGFBP"
"386","p56","MHC-I"
"387","p56","CLEC"
"388","p56","CD99"
"389","p56","CypA"
"390","p56","LCK"
"391","p56","SELPLG"
"392","p56","MIF"
"393","p56","MHC-II"
"394","p56","GALECTIN"
"395","p56","ICAM"
"396","p56","SIRP"
"397","p56","IL16"
"398","p56","ADGRE"
"399","p56","COLLAGEN"
"400","p56","PECAM1"
"401","p40","CD99"
"402","p40","CLEC"
"403","p40","CypA"
"404","p40","ICAM"
"405","p40","APP"
"406","p40","CCL"
"407","p40","IL16"
"408","p40","SIRP"
"409","p40","CXCL"
"410","p40","OX40"
"411","p40","ESAM"
"412","p43","MHC-II"
"413","p43","CD99"
"414","p43","CLEC"
"415","p43","CypA"
"416","p43","SELPLG"
"417","p43","IL16"
"418","p67","MHC-I"
"419","p67","MHC-II"
"420","p67","CD99"
"421","p67","CLEC"
"422","p67","CypA"
"423","p67","LCK"
"424","p67","SELPLG"
"425","p67","ICAM"
"426","p67","IL16"
"427","p67","ADGRE"
"428","p67","SIRP"
"429","p53","MHC-I"
"430","p53","MIF"
"431","p53","CLEC"
"432","p53","CD99"
"433","p53","SELPLG"
"434","p53","ADGRE"
"435","p53","ICAM"
"436","p53","IL16"
"437","p53","CD40"
"438","p53","SIRP"
"439","p53","NCAM"
"440","p53","IL1"
"441","p31","MHC-I"
"442","p31","CD99"
"443","p31","CLEC"
"444","p31","MIF"
"445","p31","MHC-II"
"446","p31","CypA"
"447","p31","SELPLG"
"448","p31","LCK"
"449","p31","GALECTIN"
"450","p31","ICAM"
"451","p31","IL16"
"452","p31","ADGRE"
"453","p25","MHC-I"
"454","p25","CLEC"
"455","p25","MIF"
"456","p25","CD99"
"457","p25","MHC-II"
"458","p25","CypA"
"459","p25","LCK"
"460","p25","SELPLG"
"461","p25","CCL"
"462","p25","ADGRE"
"463","p25","IL16"
"464","p25","SIRP"
"465","p25","PECAM1"
"466","p25","TRAIL"
"467","p2","MHC-II"
"468","p2","CD99"
"469","p2","MIF"
"470","p2","SELPLG"
"471","p2","APP"
"472","p2","CCL"
"473","p2","IL16"
"474","p2","SIRP"
"475","p26","MHC-I"
"476","p26","CLEC"
"477","p26","CD99"
"478","p26","LCK"
"479","p55","MHC-I"
"480","p55","CD99"
"481","p55","MHC-II"
"482","p55","CLEC"
"483","p55","LCK"
"484","p55","MIF"
"485","p55","CypA"
"486","p55","SELPLG"
"487","p55","CD45"
"488","p55","ICAM"
"489","p55","ADGRE"
"490","p55","IL16"
"491","p55","SEMA4"
"492","p55","CD40"
"493","p55","CD160"
"494","p55","PARs"
"495","p50","IL16"
"496","p51","MHC-II"
"497","p51","MIF"
"498","p51","CD45"
"499","p51","SELPLG"
"500","p51","GALECTIN"
"501","p51","ADGRE"
"502","p51","IL16"
"503","p51","SEMA4"
"504","p51","BTLA"
"505","p49","MHC-I"
"506","p49","CypA"
"507","p49","LCK"
"508","p49","SELPLG"
"509","p49","SIRP"
"510","p49","IL16"
"511","p49","ADGRE"
"512","p49","PECAM1"
"513","p3","MHC-I"
"514","p3","CLEC"
"515","p3","CD99"
"516","p3","CypA"
"517","p3","SELPLG"
"518","p3","ICAM"
"519","p3","PARs"
"520","p3","ADGRE"
"521","p3","CD160"
"522","p3","TGFb"
"523","p3","IL16"
"524","p3","NCAM"
"525","p5","MHC-I"
"526","p5","CD99"
"527","p5","MIF"
"528","p5","CLEC"
"529","p5","CypA"
"530","p5","SELPLG"
"531","p5","LCK"
"532","p5","ADGRE"
"533","p5","NCAM"
"534","p6","MHC-I"
"535","p6","MHC-II"
"536","p6","CLEC"
"537","p6","LCK"
"538","p6","SELPLG"
"539","p6","CypA"
"540","p6","CD99"
"541","p6","ICAM"
"542","p6","ADGRE"
"543","p6","IL16"
"544","p6","PECAM1"
"545","p6","SIRP"
"546","p57","MHC-I"
"547","p57","CD99"
"548","p57","CLEC"
"549","p57","MIF"
"550","p57","CypA"
"551","p57","ICAM"
"552","p57","IL16"
"553","p57","CD160"
"554","p57","CD40"
"555","p59","MHC-I"
"556","p59","MHC-II"
"557","p59","CD99"
"558","p59","SELPLG"
"559","p59","CypA"
"560","p59","LCK"
"561","p59","IL16"
"562","p59","SIRP"
"563","p60","MHC-I"
"564","p60","CLEC"
"565","p60","CD99"
"566","p60","MHC-II"
"567","p60","MIF"
"568","p60","CypA"
"569","p60","ICAM"
"570","p60","ADGRE"
"571","p60","IL16"
"572","p61","MHC-I"
"573","p61","CLEC"
"574","p61","MIF"
"575","p61","CD99"
"576","p61","LCK"
"577","p61","SELPLG"
